101,27,1,49614,62,1
102,22,1,80476,36,1
103,48,1,45309,82,1
104,53,1,14008,07,1
105,62,1,08183,95,1
106,19,1,04391,28,1
107,24,1,54000,40,1
108,19,1,75650,00,1
109,51,1,99052,74,1
110,41,1,92754,26,1
111,57,1,35063,61,1
112,29,1,20807,06,1
113,42,1,87048,28,1
114,46,1,66006,73,1
115,56,1,40212,61,1
116,30,1,97046,41,1
117,21,1,61696,98,1
118,56,1,28711,62,1
119,37,1,34208,85,1
120,52,1,01231,25,1
121,63,1,56598,07,1
122,58,1,17533,24,1
123,52,1,71687,69,1
124,21,1,23171,11,1
125,51,1,11825,53,1
126,63,1,18062,22,1
127,24,1,02884,78,1
128,42,1,67498,19,1
129,55,1,18251,83,1
130,62,1,19452,98,1
131,45,1,19510,78,1
132,54,1,31130,06,1
133,64,1,23954,26,1
134,56,1,94066,46,1
135,27,1,14238,15,1
136,50,1,34369,36,1
137,31,1,38383,21,1
138,61,1,28626,31,1
139,47,1,03955,30,1
140,50,1,73421,03,1
