198789,25,0,72827,11,1
298789,62,1,74199,56,1
398789,18,1,73431,15,1
498789,52,0,91012,00,1
598789,59,1,63556,00,1
698789,30,0,84157,98,1
798789,45,1,99348,82,1
898789,35,0,79599,67,1
998789,25,0,96429,06,1
1098789,51,0,89994,97,1
1198789,26,1,79050,20,1
1298789,55,1,94245,60,1
1398789,44,1,97202,98,1
1498789,28,1,81467,66,1
1598789,29,0,85351,07,1
1698789,63,0,95820,69,1
1798789,22,0,97426,23,1
1898789,38,1,83886,99,1
1998789,20,1,77835,87,1
2098789,42,0,89494,49,1
2198789,49,1,96014,68,1
2298789,51,0,72466,12,1
2398789,51,0,90541,84,1
2498789,60,0,79948,69,1
2598789,51,0,78413,12,1
2698789,45,0,91993,48,1
2798789,56,1,88032,48,1
2898789,27,0,91392,01,1
2998789,31,0,90261,45,1
3098789,57,1,76748,38,1
3198789,28,0,93538,44,1
3298789,34,1,85735,96,1
3398789,34,0,95803,66,1
3498789,44,0,89361,06,1
3598789,44,1,78847,73,1
3698789,53,1,97014,96,1
3798789,20,1,96096,12,1
3898789,62,1,83728,02,1
3998789,51,0,88573,04,1
4098789,43,1,85251,94,1
