1791,18,1,27170,70,0
1792,26,1,33460,14,0
1793,21,1,33588,66,0
1794,20,1,58695,21,0
1795,24,1,39495,20,0
1796,24,1,55040,54,0
1797,20,1,76788,96,0
1798,24,0,62641,10,0
1799,19,1,59749,84,0
1800,19,0,73863,39,0
1801,24,1,26022,31,0
1802,19,0,80158,43,0
1803,21,1,96631,19,0
1804,20,0,81752,20,0
1805,18,1,83845,20,0
1806,18,0,36912,18,0
1807,20,1,81455,21,0
1808,22,1,70339,34,0
1809,29,0,42362,14,0
1810,20,1,80575,55,0
1811,19,0,24506,78,0
1812,26,0,35768,43,0
1813,18,0,59109,32,0
1814,22,0,02801,43,0
1815,19,0,75415,41,0
1816,22,0,65837,08,0
1817,19,1,81468,24,0
1818,23,1,26347,78,0
1819,25,0,30062,64,0
1820,23,1,54469,19,0
1821,25,0,15802,71,0
1822,21,0,10894,61,0
1823,27,0,49617,26,0
1824,22,0,80087,79,0
1825,19,0,35132,93,0
1826,23,1,63469,11,0
1827,17,0,30769,09,0
1828,17,1,38344,30,0
1829,23,1,65969,48,0
1830,19,0,86721,40,0
