1750,91,1,31063,27,1
1751,98,0,33191,47,1
1752,61,1,65920,81,1
1753,43,1,46352,37,1
1754,63,1,23974,34,1
1755,58,0,28634,31,1
1756,92,0,36286,21,1
1757,46,1,28432,65,1
1758,89,0,85035,35,1
1759,74,1,66764,90,1
1760,67,0,19829,93,1
1761,94,0,43875,79,1
1762,78,1,87865,06,1
1763,85,1,53949,80,1
1764,79,0,46542,35,1
1765,63,0,55020,13,1
1766,58,1,56910,04,1
1767,89,0,47325,91,1
1768,96,0,31361,33,1
1769,86,1,90483,56,1
1770,57,1,25266,11,1
1771,75,0,23691,38,1
1772,78,0,96227,76,1
1773,61,1,55111,42,1
1774,63,0,21507,56,1
1775,58,0,98321,39,1
1776,92,0,08874,30,1
1777,89,1,54611,70,1
1778,74,1,74589,98,1
1779,69,0,77112,39,1
1780,93,1,82851,65,1
1781,55,0,53333,30,1
1782,82,0,94674,25,1
1783,75,1,52474,72,1
1784,68,0,92425,36,1
1785,57,0,89794,38,1
1786,61,0,47338,65,1
1787,54,0,27533,08,1
1788,86,0,56437,62,1
1789,91,1,45111,22,1
1790,60,0,43135,59,1
